county,lat,lon,population,water,grid,burden,subrgn,tier
01001,32.499259452325205,-86.50152653900047,59285.0,50.0,30.7,25.5,SRSO,Moderate
01003,30.540840419191486,-87.76301773314553,239945.0,5.0,30.7,19.2,SRSO,Low
01005,31.85624654816012,-85.3290183858723,24757.0,5.0,30.7,35.5,SRSO,Moderate
01007,33.0331267992416,-87.14237384799333,22152.0,50.0,30.7,37.4,SRSO,Moderate
01009,33.95855933829522,-86.58857847294283,59292.0,50.0,30.7,33.4,SRSO,Moderate
01011,32.131357364517086,-85.69766247204015,10157.0,5.0,30.7,37.6,SRSO,Moderate
01013,31.765062097431805,-86.65401721385433,18807.0,5.0,30.7,18.0,SRSO,Low
01015,33.73324190536846,-85.81761554848194,116141.0,25.0,30.7,52.1,SRSO,Moderate
01017,32.85480279037155,-85.28167592203357,34450.0,50.0,30.7,41.1,SRSO,Moderate
01019,34.17387330330241,-85.62304239898464,25224.0,25.0,30.7,25.5,SRSO,Low
01021,32.876260188641766,-86.68847353752271,45500.0,50.0,30.7,29.4,SRSO,Moderate
01023,32.022230039728534,-88.26312349655208,12525.0,5.0,30.7,17.7,SRSO,Low
01025,31.659218157661627,-87.80850889371555,22802.0,5.0,30.7,26.5,SRSO,Low
01027,33.287548045298834,-85.84225694073321,14188.0,50.0,30.7,29.6,SRSO,Moderate
01029,33.65110689458503,-85.5153866480987,15254.0,50.0,30.7,20.8,SRSO,Moderate
01031,31.35259225212517,-85.90639963555398,54231.0,25.0,30.7,29.5,SRSO,Low
01033,34.719618457431324,-87.68805920900924,57648.0,5.0,39.6,41.5,SRTV,Moderate
01035,31.409921369844895,-86.97778451459992,11411.0,5.0,30.7,29.1,SRSO,Low
01037,32.93364080326456,-86.19931519280473,10323.0,25.0,30.7,14.6,SRSO,Low
01039,31.28694281824847,-86.41253056164926,37647.0,5.0,30.7,19.3,SRSO,Low
01041,31.74792556122184,-86.29699497801202,13144.0,5.0,30.7,21.7,SRSO,Low
01043,34.1577752858064,-86.83376280834206,89463.0,50.0,30.7,35.2,SRSO,Moderate
01045,31.389983009986672,-85.6367554140271,49516.0,25.0,30.7,35.2,SRSO,Moderate
01047,32.41539714980018,-87.03190544655615,37536.0,50.0,30.7,36.7,SRSO,Moderate
01049,34.44844283961999,-85.81650456393108,71946.0,5.0,39.6,40.0,SRTV,Moderate
01051,32.55955661740855,-86.23056410343725,88669.0,25.0,30.7,22.7,SRSO,Low
01053,31.12081626410955,-87.25331179536464,36695.0,5.0,30.7,38.7,SRSO,Moderate
01055,34.010113490229436,-86.02300707633444,103208.0,25.0,30.7,51.0,SRSO,Moderate
01057,33.70459051538985,-87.78069611331125,16173.0,25.0,30.7,19.5,SRSO,Low
01059,34.46806795543185,-87.77393688293454,31978.0,5.0,30.7,32.3,SRSO,Low
