name,source,lat,lon,tract_geoid,county_fips
xAI Colossus 1,curated,35.06008,-90.15219,47157980300,47157
Stargate Site 1 (Crusoe / Lancium Clean Campus),curated,32.383,-99.662,48441013404,48441
Meta Hyperion,curated,32.4665,-91.6537,22083970300,22083
Project Blue (Beale Infrastructure),curated,32.04857,-110.77386,04019004109,04019
Prince William Digital Gateway (terminated),curated,38.8305,-77.5595,51153901503,51153
Meta Newton Data Center (Stanton Springs),curated,33.5985,-83.8075,13217100202,13217
Google The Dalles,curated,45.60923,-121.1959,41065970400,41065
AWS Project Rainier,curated,41.686,-86.475,18141010800,18141
AWS Susquehanna Campus (nuclear co-located),curated,41.089,-76.148,42079216100,42079
Google Council Bluffs,curated,41.21956,-95.86058,19155031900,19155
Diode Ventures — Harper Road,validation,38.71455,-94.46112,29037061002,29037
Provident Realty DC,validation,41.61072,-87.05227,18127050203,18127
Roundhouse Digital,validation,45.66951,-121.8904,41027950100,41027
DC Blox Richmond,validation,37.53851,-77.43428,51760030502,51760
Culpeper Acquisitions DC,validation,38.47338,-77.99613,51047930204,51047
Amazon Warrenton,validation,38.71355,-77.79537,51061930305,51061
PW Digital Gateway,validation,38.79274,-77.6292,51153901508,51153
Meta Beaver Dam,validation,43.45777,-88.83733,55027961000,55027
Vantage Port Washington,validation,43.38855,-87.86928,55089630100,55089
Meta Ida County,validation,42.34498,-95.47136,19093090300,19093
Stokes County DC,validation,36.29541,-80.14171,37169070702,37169
DTE Saline Township,validation,42.16671,-83.78161,26161423400,26161
xAI Colossus,validation,35.14603,-90.05178,47157004200,47157
Boulder City DC,validation,35.97876,-114.83376,32003005503,32003
Apex DC,validation,35.73254,-78.85055,37183053429,37183
Project Hutto,validation,30.54276,-97.54689,48491020820,48491
Project Hazelnut,validation,40.9549,-75.97696,42079217500,42079
Project Taurus,validation,38.83396,-104.82535,08041002300,08041
Stratos,validation,41.51104,-112.0155,49003960601,49003
Clearbrook DC,validation,39.18522,-78.16524,51840000201,51840
San Marcos Campus,validation,29.88264,-97.94058,48209010100,48209
New Brunswick DC,validation,40.49361,-74.44364,34023009300,34023
Project Sail,validation,33.38067,-84.79966,13077170308,13077
