osm_id,name,operator,lat,lon
way/166431620,"Union Pacific Jack Koraleski Technology, Research & Development Center",Union Pacific Railroad,41.317986,-96.050348
way/377345296,Centersquare Elk Grove Village Data Center Campus ORD2,Centersquare,41.992088,-87.958014
way/279410762,Cyxtera (Digital Realty Trust) Citibank Data Center,Cyxtera,40.76078,-74.025742
way/819981891,HCA Information Technology & Services Data Center,,36.032635,-86.637717
way/408012357,George C. Wallace Alabama Supercomputer Center,Alabama Supercomputer Authority,34.73654,-86.673102
node/11400893880,Flexential - Denver - Centennial Data Center,Flexential,39.593873,-104.84316
way/978632013,Northwest Data Center and Communications Hub,,37.433413,-122.180708
way/39083797,Flexential Atlanta - Alpharetta Data Center,Flexential,34.086987,-84.251824
way/331132308,Verizon Hillsboro (Tanasbourne) Data Center,Verizon Business,45.544618,-122.882338
way/398917168,Ministry of Government Services Data Centre,The Government of Ontario,43.484099,-80.194152
way/1080170579,Flexential Portland - Hillsboro 4 Expansion,Flexential,45.555391,-122.941087
node/10567817971,Brandaleone Lab for Data and Visualization,Duke Libraries,36.003099,-78.938532
way/465032631,DataBank Dallas Empire Central Data Center,DataBank,32.82175,-96.873553
way/1320038649,DC BLOX Myrtle Beach Cable Landing Station,,33.674607,-78.943885
relation/1701662,"OVHcloud, Centre de données de Beauharnois",,45.308454,-73.893879
node/3468203102,Center for Computation & Technology (CCT),,30.407446,-91.172545
node/8973042667,Data Center Hawk - Hyperscale Data Center,GI Partners - Stream Data Centers,45.412619,-74.050506
way/355926681,Flexential Salt Lake City - South Valley,Flexential,40.620352,-111.986047
way/387208881,165 Halsey / Equinix NY1 / Databank EWR1,Tishman,40.73673,-74.173888
way/439365340,Virginia Information Technologies Agency,,37.360703,-77.331806
way/714943309,PSE&G Delivery Emergency Response Center,PSE&G,40.579896,-74.519402
node/7264976991,Agricultural and Biological Engineering,,40.421854,-86.916545
node/10910879065,Centersquare Chicago Data Center - ORD1,Centersquare,41.853383,-87.618607
way/516686211,Spectrum Charlotte National Data Center,,35.142808,-80.916223
way/1296163129,Modesto Junior College West Data Center,Yosemite Community College District,37.665145,-121.040033
way/1422191450,Applied Digital / Ellendale Data Center,Applied Digital,46.013722,-98.572551
node/6685432442,Switch Tahoe Reno - The Citadel Campus,Switch,39.514096,-119.479592
way/239032142,TierPoint Sioux Falls West Data Center,,43.606971,-96.809195
way/300969614,Digital Realty Northern Virginia IAD14,Digital Realty,39.003336,-77.487094
way/300969616,Digital Realty Northern Virginia IAD12,Digital Realty,39.002023,-77.483347
way/300969619,Digital Realty Northern Virginia IAD24,Digital Realty,39.004319,-77.484415
way/459188725,Cable & Wireless Cable Landing Station,,40.843652,-72.883376
way/460053028,Amazon Web Services Datacenter Complex,Amazon Web Services,39.026331,-77.451632
way/460067220,Amazon Web Services Datacenter Complex,Amazon Web Services,40.093745,-82.751832
way/526806006,QTS Irving - Dallas Data Center Campus,Quality Technology Services,32.897248,-96.982647
way/597970806,Digital Realty Northern Virginia IAD36,Digital Realty,39.001549,-77.479375
way/597970809,Digital Realty Northern Virginia IAD35,Digital Realty,39.000533,-77.480577
